id, orderId, tokenId, type, endsAt, cancelled, category, highestBidder, highestBid,  claimed, totalBids, totalBidsVolume, platformFees, gbmFees, royaltyFees, sellerProceeds
6310,1202,350,erc1155,1677388311,false,8,0xa9465d03ba38726277b3e478ac98aa063a0c8d0a,2.1,true,3,5.1,0.063,0.021,0.0,1.8660666668 
9920,4812,356,erc1155,1677388445,false,8,0x5039e2936ec2a588cad92e4edcf41a1d3a443186,3.0,true,1,3.0,0.09,0.03,0.0,2.88 
7066,1958,351,erc1155,1677388587,false,8,0x7f433b38dd933cea19506d1fc26369b326d55cec,8.0,true,3,14.6,0.24,0.08,0.0,7.4375179488 
6208,1100,350,erc1155,1677388665,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,2.5,true,2,3.5,0.075,0.025,0.0,2.35 
6960,1852,351,erc1155,1677388680,false,8,0x7f433b38dd933cea19506d1fc26369b326d55cec,8.0,true,4,19.0,0.24,0.08,0.0,7.2013000004 
9922,4814,356,erc1155,1677388717,false,8,0x8af4277c5e84158494e2ee4cdef463f87abdae4c,4.0,true,2,6.0,0.12,0.04,0.0,3.74 
9949,4841,356,erc1155,1677388738,false,8,0x180f207f8747a966ec94277a69610162d7fa3ff1,3.2,true,2,5.2,0.096,0.032,0.0,2.972 
6138,1030,350,erc1155,1677388739,false,8,0xa9465d03ba38726277b3e478ac98aa063a0c8d0a,2.1,true,3,5.1,0.063,0.021,0.0,1.8660666668 
9950,4842,356,erc1155,1677388768,false,8,0x180f207f8747a966ec94277a69610162d7fa3ff1,3.2,true,2,5.2,0.096,0.032,0.0,2.972 
6293,1185,350,erc1155,1677388839,false,8,0x03bd560e5084e287c774f190b68466089ddfa002,2.0,true,3,4.9,0.06,0.02,0.0,1.78405666673 
6339,1231,350,erc1155,1677388854,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,2.0,true,2,3.0,0.06,0.02,0.0,1.87 
9960,4852,356,erc1155,1677389436,false,8,0xa5643d9b4a2049d578a690269dbc13426b352672,4.2,true,3,8.3,0.126,0.042,0.0,3.9215 
6927,1819,350,erc1155,1677389461,false,8,0xdc12a60d22d556ced025ad468536f457dfdc8797,4.0,true,2,6.0,0.12,0.04,0.0,3.74 
6528,1420,350,erc1155,1677389757,false,8,0x701b01cd2317ec4f806ea9f48f258ddfb53d1905,2.0,true,1,2.0,0.06,0.02,0.0,1.92 
6816,1708,350,erc1155,1677389798,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,2.0,true,1,2.0,0.06,0.02,0.0,1.92 
6841,1733,350,erc1155,1677389868,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,2.0,true,1,2.0,0.06,0.02,0.0,1.92 
6336,1228,350,erc1155,1677389870,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,3.0,true,1,3.0,0.09,0.03,0.0,2.88 
10007,4899,355,erc1155,1677389894,false,8,0x262336fd3eda533826aa4c92c9f23563f9f90693,30.0,true,2,38.0,0.9,0.3,0.0,28.4 
6901,1793,350,erc1155,1677389920,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,3.0,true,1,3.0,0.09,0.03,0.0,2.88 
9921,4813,356,erc1155,1677389935,false,8,0xb7039fbd301cfaa7c66ba43fc10e2c60aa18f785,5.0,true,2,7.0,0.15,0.05,0.0,4.7 
5856,748,350,erc1155,1677390008,false,8,0x701b01cd2317ec4f806ea9f48f258ddfb53d1905,2.5,true,2,4.5,0.075,0.025,0.0,2.3 
6889,1781,350,erc1155,1677390099,false,8,0x701b01cd2317ec4f806ea9f48f258ddfb53d1905,2.5,true,2,3.5,0.075,0.025,0.0,2.35 
6895,1787,350,erc1155,1677390157,false,8,0x701b01cd2317ec4f806ea9f48f258ddfb53d1905,2.5,true,1,2.5,0.075,0.025,0.0,2.4 
9944,4836,356,erc1155,1677390258,false,8,0xd7fd128a2fd1382fb286cb82b756f7b0e983b5a1,3.0,true,2,4.0,0.09,0.03,0.0,2.83 
